"","PlaceCode","pop","popMOE","hh","hhMOE","m_under5","m_under5MOE","f_under5","f_under5MOE","racepop","racepopMOE","white","whiteMOE","black","blackMOE","asian","asianMOE","hisp","hispMOE","renter","renterMOE","occupied","occupiedMOE","Population","Population_MOE","Total_Households","Total_Households_MOE","Population_Under_5","Population_Under_5_MOE","White_percent","White_MOEprop","Black_percent","Black_MOEprop","Asian_percent","Asian_MOEprop","Hispanic_percent","Hispanic_MOEprop","Renter_percent","Renter_MOEprop"
"35",1702,3270,511,1067,89,112,82,85,52,3270,511,562,165,2600,506,63,73,30,47,416,89,1067,89,3270,511,1067,89,197,97.0978887515068,0.171865443425076,0.0427173213355829,0.795107033639144,0.0922293732115978,0.0192660550458716,0.0221202130580984,0.00917431192660551,0.0143014087696592,0.389878163074039,0.0768107910144552
"36",1720,3183,375,1289,127,64,59,69,58,3183,375,57,46,2963,399,13,19,120,145,715,142,1289,127,3183,375,1289,127,133,82.7345151674922,0.0179076343072573,0.0142969478995965,0.930882814954445,0.0607114193610507,0.0040841972981464,0.00594978634991882,0.0377002827521206,0.0453374617408642,0.554693560899922,0.0956507004455728
"37",1722,4349,709,1626,149,83,64,66,54,4349,709,28,31,4101,640,0,12,212,283,808,149,1626,149,4349,709,1626,149,149,83.7376856618333,0.00643826166934928,0.00705037522141284,0.942975396642906,0.212811889932708,0,0.00275925500114969,0.0487468383536445,0.0645853417979044,0.496924969249692,0.0795210534433171
"38",1723,4562,413,1802,129,110,73,70,50,4562,413,140,89,4304,445,93,90,12,20,570,136,1802,129,4562,413,1802,129,180,88.4816365128946,0.0306882946076282,0.0193101539833328,0.943445857080228,0.0471173504507612,0.0203857957036388,0.0196416764764244,0.00263042525208242,0.00437756980437631,0.316315205327414,0.071994597852808
"39",1724,4784,509,1775,137,93,78,87,62,4784,509,270,187,4424,472,24,37,34,41,952,136,1775,137,4784,509,1775,137,180,99.6393496566492,0.056438127090301,0.0386246445462276,0.924749163879599,0.00732509232854532,0.00501672240802676,0.00771567328985203,0.00710702341137124,0.00853681047505683,0.536338028169014,0.0644742840255898
"40",1725,7096,1105,2586,222,298,257,69,77,7096,1105,211,159,6348,1067,0,17,432,405,1403,249,2586,222,7096,1105,2586,222,367,268.287159588378,0.0297350620067644,0.021923336604157,0.894588500563698,0.0566012423469089,0,0.00239571589627959,0.0608793686583991,0.0562815540566628,0.542536736272235,0.0842738614670034
"41",1730,1007,168,354,36,14,18,35,30,1007,168,41,62,882,181,53,48,14,15,91,41,354,36,1007,168,354,36,49,34.9857113690718,0.0407149950347567,0.0611931762268223,0.875868917576961,0.104666862857519,0.0526315789473684,0.0468506126093759,0.0139026812313803,0.0147140438067446,0.257062146892655,0.11283035741557
"42",1734,977,130,353,45,53,26,48,20,977,130,847,146,0,12,46,38,23,30,5,8,353,45,977,130,353,45,101,32.8024389337135,0.866939611054248,0.0949978015206002,0,0.0122824974411464,0.0470829068577277,0.0383867084743078,0.0235414534288639,0.0305460512584706,0.0141643059490085,0.0225908431976632
"43",1735,2265,269,929,76,131,64,35,32,2265,269,2,3,2117,274,0,12,101,54,498,69,929,76,2265,269,929,76,166,71.5541752799933,0.000883002207505519,0.00132034524968892,0.934657836644592,0.0480861310963413,0,0.00529801324503311,0.0445916114790287,0.0232454273689102,0.536060279870829,0.0599445254418415
"44",1736,2181,325,924,68,103,61,81,69,2181,325,10,11,2111,320,0,12,15,22,738,66,924,68,2181,325,924,68,184,92.097774131626,0.00458505272810637,0.0049970654495647,0.967904630903255,0.0269168021294095,0,0.00550206327372765,0.00687757909215956,0.0100349179010767,0.798701298701299,0.0405842786827997
