"","PlaceCode","pop","popMOE","hh","hhMOE","m_under5","m_under5MOE","f_under5","f_under5MOE","racepop","racepopMOE","white","whiteMOE","black","blackMOE","asian","asianMOE","hisp","hispMOE","renter","renterMOE","occupied","occupiedMOE","Population","Population_MOE","Total_Households","Total_Households_MOE","Population_Under_5","Population_Under_5_MOE","White_percent","White_MOEprop","Black_percent","Black_MOEprop","Asian_percent","Asian_MOEprop","Hispanic_percent","Hispanic_MOEprop","Renter_percent","Renter_MOEprop"
"58",1800,1423,166,814,80,8,12,10,10,1423,166,1129,171,56,42,37,35,139,88,425,78,814,80,1423,166,814,80,18,15.6204993518133,0.793394237526353,0.0766445058787986,0.039353478566409,0.0291558983732689,0.0260014054813774,0.0244081794519318,0.0976809557273366,0.0607822863657201,0.522113022113022,0.0809259474664044
"59",1900,1368,243,632,89,17,25,14,20,1368,243,305,94,797,180,16,23,185,147,393,80,632,89,1368,243,632,89,31,32.0156211871642,0.222953216374269,0.0561524577878841,0.582602339181287,0.0812596736685783,0.0116959064327485,0.0166840097398899,0.135233918128655,0.104736691430589,0.621835443037975,0.0914046701911811
"60",2000,1203,175,536,56,31,23,0,12,1203,175,147,73,986,174,6,9,42,39,395,64,536,56,1203,175,536,56,31,25.9422435421457,0.122194513715711,0.0580197240446084,0.819617622610141,0.0818815921870786,0.00498753117206983,0.00744603256308378,0.0349127182044888,0.0320186645023439,0.736940298507463,0.0912635380429033
"61",2100,1106,198,431,50,71,43,84,66,1106,198,43,30,1018,201,0,12,26,28,263,45,431,50,1106,198,431,50,155,78.7718223732319,0.038878842676311,0.0262165711940134,0.920433996383363,0.0766533961139275,0,0.0108499095840868,0.0235081374321881,0.0249642019510837,0.610208816705336,0.07674565888109
"62",2200,1519,270,498,54,174,74,41,35,1519,270,37,28,1419,250,0,12,52,41,307,66,498,54,1519,270,498,54,215,81.8596359630313,0.0243581303489138,0.0179174912198126,0.934167215273206,0.233792161605268,0,0.00789993416721527,0.0342330480579328,0.0262966203256126,0.616465863453815,0.114437256853971
"63",2300,2109,286,861,91,63,47,41,37,2109,286,57,56,1931,274,0,12,115,110,446,89,861,91,2109,286,861,91,104,59.8163857149527,0.027027027027027,0.0262987025988845,0.915599810336652,0.0382411909684709,0,0.00568990042674253,0.0545282124229493,0.0516305860177523,0.518002322880372,0.0876790345274739
"64",2401,2407,315,858,64,171,141,19,22,2407,315,277,109,2011,342,13,19,32,34,267,93,858,64,2407,315,858,64,190,142.70599146497,0.115081013710012,0.0427068662983153,0.835479850436228,0.0907389243194636,0.00540091400083091,0.00786193552272227,0.0132945575405069,0.0140179099386723,0.311188811188811,0.105876974163667
"65",2402,3156,404,1298,112,42,46,48,39,3156,404,241,158,2822,378,0,12,60,72,707,128,1298,112,3156,404,1298,112,90,60.3075451332584,0.076362484157161,0.0490997674043324,0.894169835234474,0.0352642227230217,0,0.00380228136882129,0.0190114068441065,0.0226835117150759,0.544684129429892,0.0866929816072434
"66",2501,2203,276,784,62,75,48,50,38,2203,276,136,86,1931,283,0,12,100,51,352,59,784,62,2203,276,784,62,125,61.2209114600559,0.0617339990921471,0.0382638380023937,0.876532001815706,0.0666551145511221,0,0.00544711756695415,0.0453926463912846,0.0224408680322656,0.448979591836735,0.0663524797353287
"67",2502,2479,276,951,59,23,21,29,34,2479,276,124,64,2287,287,0,12,26,22,348,74,951,59,2479,276,951,59,52,39.9624824053762,0.0500201694231545,0.0252090561705661,0.922549415086728,0.0534178369661772,0,0.00484066155707947,0.0104881000403388,0.00879738931197151,0.365930599369085,0.0744274210710104
"68",2503,2204,229,788,64,43,30,194,86,2204,229,596,88,1378,205,24,31,150,113,220,63,788,64,2204,229,788,64,237,91.0823802938856,0.270417422867514,0.0283683149130877,0.625226860254083,0.0665677117868112,0.0108892921960073,0.0140197560766036,0.0680580762250454,0.0507804236807371,0.279187817258883,0.0766662781193133
"69",2504,2797,415,953,69,38,30,70,55,2797,415,532,108,2053,412,40,42,93,83,282,70,953,69,2797,415,953,69,108,62.6498204307083,0.190203789774759,0.0263536457686649,0.734000715051841,0.0991814325514886,0.0143010368251698,0.014865412731204,0.0332499106185198,0.0292616904022018,0.295907660020986,0.070258245902696
"70",2600,1662,229,1068,95,15,11,22,18,1662,229,1372,211,247,227,43,47,0,12,602,98,1068,95,1662,229,1068,95,37,21.095023109729,0.825511432009627,0.0563919436548845,0.148616125150421,0.135038679731756,0.0258724428399519,0.0280535902377931,0,0.0072202166064982,0.563670411985019,0.0768505757987064
"71",2700,1450,319,549,72,26,32,30,36,1450,319,328,123,1054,304,0,12,59,52,363,74,549,72,1450,319,549,72,56,48.1663783151692,0.226206896551724,0.0686957980911966,0.726896551724138,0.135579376121476,0,0.00827586206896552,0.0406896551724138,0.0347268574081488,0.66120218579235,0.103193934935265
"72",2800,1782,213,775,69,26,34,40,42,1782,213,81,57,1680,222,0,12,12,17,571,75,775,69,1782,213,775,69,66,54.0370243444252,0.0454545454545455,0.0315217297384242,0.942760942760943,0.0531189014048585,0,0.00673400673400673,0.00673400673400673,0.00950582597803927,0.736774193548387,0.071149992298696
"73",2900,1224,254,509,75,45,48,0,12,1224,254,160,66,990,257,14,16,50,47,330,83,509,75,1224,254,509,75,45,49.4772675074119,0.130718954248366,0.0466014847849758,0.808823529411765,0.126153217169084,0.011437908496732,0.0128545982665943,0.0408496732026144,0.0374513085222972,0.648330058939096,0.13215205148328
"74",3000,1072,219,519,69,41,48,38,45,1072,219,54,53,969,212,0,12,34,53,366,69,519,69,1072,219,519,69,79,65.7951365983839,0.0503731343283582,0.0483574498763835,0.903917910447761,0.0707764943228159,0,0.0111940298507463,0.0317164179104478,0.0490138832307705,0.705202312138728,0.0942609311946356
"75",3100,1307,209,536,54,32,33,57,51,1307,209,131,108,1131,193,0,12,36,30,313,64,536,54,1307,209,536,54,89,60.7453701939498,0.100229533282326,0.0810627096658678,0.865340474368783,0.0515530917499656,0,0.00918133129303749,0.0275439938791125,0.0225267744605647,0.583955223880597,0.103903560207917
"76",3301,2077,174,815,60,62,39,41,28,2077,174,791,147,1019,182,129,92,110,54,181,53,815,60,2077,174,815,60,103,48.0104155366312,0.38083774675012,0.0631761182981972,0.490611458834858,0.0773893156247653,0.0621088107847858,0.0439879961564755,0.0529610014443909,0.0256176661140559,0.222085889570552,0.0629417988929464
"77",3302,3443,396,1272,102,118,100,245,130,3443,396,423,113,2884,389,28,40,73,64,208,83,1272,102,3443,396,1272,102,363,164.012194668567,0.122857972698228,0.0296224884063876,0.837641591635202,0.0590196150824635,0.00813244263723497,0.0115800604770718,0.0212024397327912,0.0184277847113761,0.163522012578616,0.0639204743377919
"78",3303,2470,262,876,60,142,83,55,47,2470,262,476,140,1726,262,38,55,169,77,496,78,876,60,2470,262,876,60,197,95.3834367172834,0.192712550607287,0.0528657053522728,0.698785425101215,0.075877251722231,0.0153846153846154,0.0222073280274777,0.068421052631579,0.0303175001307428,0.5662100456621,0.0801518012354081
"79",3304,2459,262,930,61,111,60,62,47,2459,262,184,84,2157,276,0,12,91,69,570,85,930,61,2459,262,930,61,173,76.2167960491649,0.0748271655144368,0.0332168360749172,0.877185847905653,0.0621519745383262,0,0.00488003253355022,0.0370069133794225,0.0277817733719182,0.612903225806452,0.082081861985803
"80",3307,1553,219,662,44,21,25,15,23,1553,219,15,19,1532,223,0,12,0,12,227,57,662,44,1553,219,662,44,36,33.9705755029261,0.00965872504829363,0.0121583305863501,0.986477784932389,0.0355981246752903,0,0.0077269800386349,0,0.0077269800386349,0.342900302114804,0.0830316236173329
"81",3308,3390,355,1519,109,71,52,68,87,3390,355,137,69,3143,358,23,22,62,62,784,128,1519,109,3390,355,1519,109,139,101.355808910984,0.0404129793510324,0.01990915499823,0.927138643067847,0.0415444249084889,0.00678466076696165,0.0064506662448147,0.0182890855457227,0.0181885279514283,0.516129032258065,0.0756906131123046
"82",3400,1394,227,736,78,13,15,7,9,1394,227,387,83,792,182,0,12,83,66,517,87,736,78,1394,227,736,78,20,17.4928556845359,0.277618364418938,0.0387478011409939,0.568149210903874,0.0921208051680117,0,0.00860832137733142,0.0595408895265423,0.0463423719824159,0.702445652173913,0.0918198090000117
