"","parish","tract","medhhinc","medhhincMOE","hhunder18","hhunder18MOE","totinta","totaintMOE","NoSubscript","NoSubscriptMOE","NoAccess","NoAccessMOE","Median_household_income","Median_household_incomeMOE","Households_with_people_under18","Households_with_people_under18MOE","No_home_internet_access_percent","No_home_internet_access_MOEagg","No_home_internet_access_MOEprop"
"689","071","005603",79583,17002,199,199,674,55,13,20,55,27,79583,17002,199,199,0.100890207715134,33.6005952328229,0.049168007377412
"690","051","027803",32073,6733,339,339,1360,116,16,18,535,148,32073,6733,339,339,0.405147058823529,149.090576496303,0.104036391476637
"691","051","027804",82936,11422,959,959,2780,152,91,68,68,88,82936,11422,959,959,0.0571942446043165,111.211510195663,0.039881726019311
"692","051","020700",35833,9109,77,77,342,58,4,8,159,58,35833,9109,77,77,0.476608187134503,58.5491246732178,0.150913720003771
"693","051","023901",67692,8296,298,298,1008,28,23,21,142,51,67692,8296,298,298,0.163690476190476,55.1543289325507,0.0545273424221375
"694","051","025900",43125,14336,381,381,1303,113,47,52,339,103,43125,14336,381,381,0.29623944742901,115.381974328749,0.0847423592890614
"695","051","020102",77070,9221,282,282,1313,89,9,14,232,99,77070,9221,282,282,0.183549124143184,99.9849988748312,0.0751267847534193
"696","051","022002",90156,13406,187,187,1070,63,21,23,141,54,90156,13406,187,187,0.151401869158879,58.6941223633168,0.0541251456829597
"697","051","021500",33286,3931,323,323,1361,88,22,26,423,109,33286,3931,323,323,0.326965466568699,112.058020685714,0.0795746118147357
"698","051","023903",86607,9514,262,262,864,60,18,21,88,38,86607,9514,262,262,0.122685185185185,43.4165866921848,0.0495231630148568
"699","051","024900",37125,11548,182,182,743,65,12,10,262,63,37125,11548,182,182,0.368775235531629,63.7887137352682,0.0795607304136938
"700","051","022303",41327,5665,406,406,1518,69,41,40,500,121,41327,5665,406,406,0.356389986824769,127.440182046323,0.082374927937834
"701","051","026200",27900,4368,105,105,458,53,12,14,186,65,27900,4368,105,105,0.432314410480349,66.4906008395172,0.136283897287716
"702","051","027810",69932,6626,455,455,1293,82,75,65,142,62,69932,6626,455,455,0.167826759474091,89.8276126811795,0.0686521147368993
"703","011","960600",39750,6079,509,509,1431,121,12,14,562,111,39750,6079,509,509,0.401118099231307,111.879399354841,0.0704426281306908
"704","011","960700",61715,11064,959,959,2861,200,214,120,727,182,61715,11064,959,959,0.328905976931143,218,0.0726453971893967
"705","011","960400",44073,5409,399,399,1125,78,14,13,383,52,44073,5409,399,399,0.352888888888889,53.6003731330296,0.0408826664336736
"706","011","960100",41411,4424,790,790,2534,235,14,22,614,186,41411,4424,790,790,0.247829518547751,187.29655629509,0.0702492280506804
"707","011","960300",42660,4977,591,591,1519,119,97,38,335,62,42660,4977,591,591,0.28439763001975,72.7186358507914,0.0423721294203649
"708","011","960500",48559,7692,715,715,2004,126,25,20,388,108,48559,7692,715,715,0.206087824351297,109.836241741968,0.0532547860694431
"709","011","960200",54464,7778,576,576,1853,133,57,33,552,122,54464,7778,576,576,0.328656233135456,126.384334472275,0.0639960445450988
"710","013","970200",35536,6382,194,194,723,85,9,9,280,78,35536,6382,194,194,0.399723374827109,78.5175139698144,0.0979053665742251
"711","013","970400",53125,10884,329,329,1205,141,22,23,418,140,53125,10884,329,329,0.365145228215768,141.876707038189,0.109713955378333
"712","013","970100",24576,5159,477,477,1444,170,89,52,572,146,24576,5159,477,477,0.457756232686981,154.983870128475,0.0928191560447896
"713","013","970500",40204,6672,360,360,1158,115,24,26,417,81,40204,6672,360,360,0.380829015544041,85.0705589496155,0.0629803614538451
"714","013","970300",27500,7303,400,400,1310,124,33,25,465,93,27500,7303,400,400,0.380152671755725,96.3016095400279,0.0641036012653473
"715","015","010602",35370,7709,403,403,1432,116,88,59,568,129,35370,7709,403,403,0.458100558659218,141.852035586381,0.0918453425155756
"716","017","024201",43971,8844,562,562,1690,102,19,18,318,97,43971,8844,562,562,0.199408284023669,98.6559678884151,0.0571221985746363
"717","017","024303",30476,5616,612,612,2383,180,154,99,673,196,30476,5616,612,612,0.347041544271926,219.583697026897,0.0883385820570599
"718","017","024504",51265,9520,780,780,2332,156,145,86,597,158,51265,9520,780,780,0.318181818181818,179.888854574151,0.0741446257035119
"719","017","024900",37426,4261,463,463,1449,113,96,53,464,125,37426,4261,463,463,0.386473429951691,135.771867483658,0.0887209133758403
