"","GEOID11","GEOID2","Geography","response2000","response2010"
"445","22071005500 ","22","Tract ",0.77,0.54
"446","22073005800 ","22","Tract ",0.62,0.64
"447","22097961900 ","22","Tract ",0.66,0.57
"448","22019000100 ","22","Tract ",0.61,0.64
"449","22057020202 ","22","Tract ",0.83,0.79
"450","22051024400 ","22","Tract ",0.74,0.76
"451","22019001202 ","22","Tract ",0.54,0.54
"452","22045030900 ","22","Tract ",0.63,0.59
"453","22071004500 ","22","Tract ",0.54,0.42
"454","22103041104 ","22","Tract ",0.73,0.65
"455","22051026900 ","22","Tract ",0.69,0.77
"456","22109001600 ","22","Tract ",0.74,0.74
"457","22119031900 ","22","Tract ",0.72,0.68
"458","22071001100 ","22","Tract ",0.59,0.37
"459","22033003702 ","22","Tract ",0.85,0.76
"460","22093040300 ","22","Tract ",0.78,0.58
"461","22033002400 ","22","Tract ",0.53,0.54
"462","22051025003 ","22","Tract ",0.82,0.72
"463","22085980500 ","22","Tract ",0.69,0.54
"464","22071000100 ","22","Tract ",0.59,0.48
"465","22015010801 ","22","Tract ",0.74,0.72
"466","22109000102 ","22","Tract ",0.6,0.71
"467","22095071100 ","22","Tract ",0.51,0.57
"468","22079010900 ","22","Tract ",0.68,0.76
"469","22033004603 ","22","Tract ",0.67,0.73
"470","22051025102 ","22","Tract ",0.78,0.75
"471","22103040900 ","22","Tract ",0.61,0.63
"472","22067950700 ","22","Tract ",0.7,0.66
"473","22095070400 ","22","Tract ",0.81,0.76
"474","22071006400 ","22","Tract ",0.6,0.46
"475","22051020102 ","22","Tract ",0.75,0.86
"476","22023970200 ","22","Tract ",0.47,0.35
"477","22071009100 ","22","Tract ",0.48,0.41
"478","22073001700 ","22","Tract ",0.75,0.72
"479","22109001400 ","22","Tract ",0.54,0.65
"480","22051022500 ","22","Tract ",0.78,0.75
"481","22085980100 ","22","Tract ",0.62,0.58
"482","22017022600 ","22","Tract ",0.82,0.77
"483","22039950700 ","22","Tract ",0.69,0.78
"484","22073001001 ","22","Tract ",0.69,0.78
"485","22033003202 ","22","Tract ",0.84,0.76
"486","22127960300 ","22","Tract ",0.64,0.49
"487","22021990100 ","22","Tract ",0.52,0.48
"488","22051020303 ","22","Tract ",0.8,0.81
"489","22041950400 ","22","Tract ",0.64,0.63
"490","22051022700 ","22","Tract ",0.79,0.71
"491","22051023904 ","22","Tract ",0.81,0.76
"492","22031950700 ","22","Tract ",0.63,0.53
"493","22073010301 ","22","Tract ",0.78,0.76
"494","22107980100 ","22","Tract ",0.43,0.41
"495","22051027803 ","22","Tract ",0.59,0.61
"496","22101041400 ","22","Tract ",999,0.68
"497","22051025900 ","22","Tract ",0.63,0.7
"498","22079012100 ","22","Tract ",0.71,0.73
"499","22071000607 ","22","Tract ",0.87,0.76
"500","22051022900 ","22","Tract ",0.66,0.74
"501","22001961100 ","22","Tract ",0.67,0.62
"502","22011960600 ","22","Tract ",0.56,0.6
"503","22013970100 ","22","Tract ",0.56,0.68
"504","22051027100 ","22","Tract ",0.71,0.79
"505","22051027812 ","22","Tract ",0.68,0.74
"506","22051022800 ","22","Tract ",0.8,0.7
"507","22097961100 ","22","Tract ",0.77,0.76
"508","22007050300 ","22","Tract ",0.65,0.63
"509","22017022400 ","22","Tract ",0.7,0.64
"510","22071004900 ","22","Tract ",0.49,0.24
"511","22071007502 ","22","Tract ",0.65,0.37
"512","22071006500 ","22","Tract ",0.59,0.42
"513","22057021602 ","22","Tract ",0.75,0.69
"514","22051024100 ","22","Tract ",0.8,0.73
"515","22039950500 ","22","Tract ",0.63,0.66
"516","22009030300 ","22","Tract ",0.7,0.7
"517","22017024900 ","22","Tract ",0.63,0.58
"518","22045031000 ","22","Tract ",0.62,0.62
"519","22103040502 ","22","Tract ",0.66,0.71
"520","22033000702 ","22","Tract ",0.62,0.63
"521","22051024300 ","22","Tract ",0.75,0.69
"522","22111960300 ","22","Tract ",0.52,0.58
"523","22051020101 ","22","Tract ",0.67,0.77
"524","22087030209 ","22","Tract ",0.74,0.51
"525","22079010200 ","22","Tract ",0.64,0.75
"526","22119032000 ","22","Tract ",0.82,0.8
"527","22101040300 ","22","Tract ",999,0.56
"528","22067950600 ","22","Tract ",0.66,0.6
"529","22103041101 ","22","Tract ",0.71,0.69
"530","22045031200 ","22","Tract ",0.78,0.79
"531","22073010302 ","22","Tract ",0.7,0.63
"532","22071002402 ","22","Tract ",0.63,0.43
"533","22037951300 ","22","Tract ",0.52,0.55
"534","22089062700 ","22","Tract ",0.6,0.53
"535","22057020800 ","22","Tract ",0.74,0.79
"536","22105954300 ","22","Tract ",0.59,0.62
"537","22067950400 ","22","Tract ",0.65,0.65
"538","22033002000 ","22","Tract ",0.88,0.82
"539","22033003601 ","22","Tract ",0.76,0.66
"540","22111960400 ","22","Tract ",0.52,0.68
"541","22033004204 ","22","Tract ",0.67,0.67
"542","22119031400 ","22","Tract ",0.64,0.62
"543","22053980600 ","22","Tract ",0.73,0.64
"544","22051021500 ","22","Tract ",0.59,0.58
"545","22075050400 ","22","Tract ",0.51,0.5
"546","22057020100 ","22","Tract ",0.8,0.79
"547","22019003500 ","22","Tract ",0.56,0.56
"548","22029990500 ","22","Tract ",0.45,0.47
"549","22071000606 ","22","Tract ",0.74,0.77
"550","22109001100 ","22","Tract ",0.65,0.66
"551","22071010900 ","22","Tract ",0.63,0.59
"552","22033003505 ","22","Tract ",0.67,0.69
"553","22073010101 ","22","Tract ",0.67,0.78
"554","22051020506 ","22","Tract ",0.8,0.83
"555","22111960600 ","22","Tract ",0.55,0.69
"556","22097960800 ","22","Tract ",0.69,0.75
"557","22073000600 ","22","Tract ",0.62,0.64
