"","GEOID","tract","engnotwellpct","engnotwellMOEprop"
"46","22071001739","001739",0,0.0248933048497531
"47","22071001740","001740",0,0.0138378976220105
"48","22071001741","001741",0.163487738419619,0.0574114122715067
"49","22071001743","001743",0.00445765230312036,0.0232874145990286
"50","22071001744","001744",0,0.0106620326117203
"51","22071001745","001745",0.0036036036036036,0.0145216801458638
"52","22071001746","001746",0.0101888667992048,0.0164388976541658
"53","22071001747","001747",0.0358006773101113,0.0192440322797324
"54","22071001748","001748",0.0353860294117647,0.0228565330422774
"55","22071001749","001749",0.201513067400275,0.0383201865419416
"56","22071001750","001750",0.236650485436893,0.0671481306483249
"57","22071001751","001751",0.125171939477304,0.118383965842066
"58","22071001800","001800",0.0177935943060498,0.0413570307324637
"59","22071001900","001900",0.00897531787584144,0.0344164396027366
"60","22071002000","002000",0,0.0396551195857415
"61","22071002100","002100",0,0.0488704523180747
"62","22071002200","002200",0,0.0356409510387186
"63","22071002300","002300",0.029925187032419,0.0416981713060052
"64","22071002401","002401",0,0.0209633739984163
"65","22071002402","002402",0.0146771037181996,0.0225101365387238
"66","22071002501","002501",0.00625601539942252,0.0234487510418366
"67","22071002502","002502",0.00164812525751957,0.0186637351256316
"68","22071002503","002503",0.0172852058973055,0.0293192009910267
"69","22071002504","002504",0.00669393826701376,0.0175271673615581
"70","22071002600","002600",0,0.0286004924027625
"71","22071002700","002700",0.0114777618364419,0.0364321352301743
"72","22071002800","002800",0.00699300699300699,0.0279676060177769
"73","22071002900","002900",0.00424088210347752,0.0386741017243398
"74","22071003000","003000",0.0221550855991944,0.0504377344257062
"75","22071003100","003100",0,0.0381574713912061
"76","22071003301","003301",0.00810536980749747,0.0238867871580828
"77","22071003302","003302",0.00324675324675325,0.015365885611645
"78","22071003303","003303",0.0131984161900572,0.0237205554046861
"79","22071003304","003304",0.00568678915135608,0.0207001288957489
"80","22071003307","003307",0,0.0306366513872703
"81","22071003308","003308",0,0.01429584747908
"82","22071003400","003400",0,0.0338251820629469
"83","22071003500","003500",0,0.0372104084503515
"84","22071003600","003600",0.00694927032661571,0.0328832508877798
"85","22071003701","003701",0,0.0239937016801699
"86","22071003702","003702",0.00498241500586166,0.0154995451663412
"87","22071003800","003800",0.0110497237569061,0.0441568203375854
"88","22071003900","003900",0.0219106047326906,0.0407497181688027
"89","22071004000","004000",0.00888192267502612,0.0256518842247467
"90","22071004100","004100",0.00249221183800623,0.0283115771405271
"91","22071004401","004401",0,0.0433138864440718
"92","22071004402","004402",0,0.158080952906425
"93","22071004500","004500",0.0223534373681991,0.0338892766476219
"94","22071004600","004600",0,0.0172324064347382
"95","22071004800","004800",0,0.331970001103493
"96","22071004900","004900",0.073094867807154,0.0522123747305843
"97","22071005000","005000",0.0953221535745808,0.0676295996081651
"98","22071005400","005400",0.00419664268585132,0.0280166835061905
"99","22071005500","005500",0.00866482867270579,0.0197708035751139
"100","22071005601","005601",0.00322729368372522,0.0213105069726027
"101","22071005602","005602",0,0.0191652784142223
"102","22071005603","005603",0,0.0329381999677456
"103","22071005604","005604",0,0.0323422408869095
"104","22071006000","006000",0.0298988040478381,0.0259647012376547
"105","22071006300","006300",0.108409986859396,0.0528801650743238
"106","22071006400","006400",0.0443118875159778,0.0429009291028864
"107","22071006500","006500",0.0285285285285285,0.0261382555972445
"108","22071006900","006900",0.011703511053316,0.0615354029536248
"109","22071007000","007000",0.0112721417069243,0.0254888044228242
"110","22071007101","007101",0.0250201775625504,0.0235167869553981
"111","22071007200","007200",0.0711878685762426,0.0421310392972141
"112","22071007501","007501",0.0162224797219003,0.0267771448502017
"113","22071007502","007502",0.0196141479099678,0.024184262701882
"114","22071007604","007604",0.0100710900473934,0.0269340730087309
"115","22071007605","007605",0.0288831835686778,0.0467202929939437
"116","22071007606","007606",0.00679383328978312,0.0131298981669747
"117","22071007700","007700",0.00450653447498873,0.0225242126392509
"118","22071007800","007800",0.0149384885764499,0.0418863579395255
"119","22071008200","008200",0,0.0330553343915284
"120","22071008300","008300",0.00374882849109653,0.0424526289419786
"121","22071008400","008400",0.029940119760479,0.0540178978659999
"122","22071008500","008500",0.053475935828877,0.0653062702724045
"123","22071008600","008600",0.0477200424178155,0.0594671669337955
"124","22071008800","008800",0,0.0252860719012454
"125","22071009000","009000",0.00447761194029851,0.0232501173910564
"126","22071009100","009100",0.0287390029325513,0.0351343524802382
"127","22071009200","009200",0.0366568914956012,0.0381190983502983
"128","22071009400","009400",0.0470175438596491,0.0576038891740457
"129","22071009600","009600",0.0520833333333333,0.0698230168922864
"130","22071009700","009700",0,0.0372104084503515
"131","22071009900","009900",0.00141143260409315,0.0159826351429034
"132","22071010000","010000",0.00337837837837838,0.0310778935199072
"133","22071010100","010100",0,0.0283043849905536
"134","22071010200","010200",0,0.0250678533735108
"135","22071010300","010300",0.00474083438685209,0.0157928420559659
"136","22071010600","010600",0,0.0332682893017101
"137","22071010700","010700",0.00545553737043099,0.0242990232203318
"138","22071010800","010800",0.00471327572663001,0.0359693938072613
"139","22071010900","010900",0,0.0165866524462844
"140","22071011100","011100",0.00466472303206997,0.0272504834719936
"141","22071011200","011200",0,0.0316592644104148
"142","22071011400","011400",0.00375335120643432,0.0247854355819278
"143","22071011500","011500",0.0254306808859721,0.0525460455117789
"144","22071011600","011600",0,0.031317924632405
"145","22071011700","011700",0.00365363536719035,0.0172913191759085
"146","22071011900","011900",0.00473092844470727,0.0274781673132736
"147","22071012000","012000",0,0.0320522759686131
"148","22071012101","012101",0.00621310966138552,0.0158084547098623
"149","22071012102","012102",0.0103614457831325,0.0142735388395647
"150","22071012200","012200",0.00277264325323475,0.0210731620536327
"151","22071012300","012300",0.0569948186528497,0.0900895656652866
"152","22071012400","012400",0,0.0290473750965556
"153","22071012500","012500",0.0105944673337257,0.0285043857659435
"154","22071012600","012600",0.00750938673341677,0.0284267738466196
"155","22071012700","012700",0.0199335548172757,0.0381857859131162
"156","22071012800","012800",0.025181598062954,0.0316299218936672
"157","22071012900","012900",0,0.0339239417186051
"158","22071013000","013000",0.0149068322981366,0.0317265103421358
"159","22071013100","013100",0,0.0368270999639374
"160","22071013200","013200",0.0088261253309797,0.024824099899364
"161","22071013301","013301",0.00174064403829417,0.0134102111820506
"162","22071013302","013302",0.00386286817962337,0.0224391257616156
"163","22071013400","013400",0.00445205479452055,0.0166885501439779
"164","22071013500","013500",0,0.023261161238483
"165","22071013600","013600",0,0.0510162460532261
"166","22071013700","013700",0.0023696682464455,0.0181643494963293
"167","22071013800","013800",0.00246406570841889,0.0188894628363142
"168","22071013900","013900",0.0328554360812425,0.0384682985439593
"169","22071014000","014000",0.0393974507531866,0.0642360089901613
"170","22071014100","014100",0,0.023472626340651
"171","22071014200","014200",0.00307692307692308,0.028178767280415
"172","22071014300","014300",0.0548501777552057,0.0410464132691685
"173","22071014400","014400",0,0.0303168950779446
"174","22071014500","014500",0.00475737392959087,0.0224866005823308
"175","22071000071","000071",0.0168914104039906,0.00166267077565775
"176","22071000001","000001",0.0442979992900038,0.00019408964116162
"177","22071980000","980000",0,4.6475800154489
"178","22071980100","980100",NA,NA
"179","22071990000","990000",NA,NA
