"","name.y","tract","blackpct2018","blackMOEprop2018","hisppct2018","hispMOEprop2018","asianpct2018","asianMOEprop2018","nativepct2018","nativeMOEprop2018"
"292","East Baton Rouge","003505",0.0165088422657845,0.00211851257173474,0.0171951764180438,0.0102724430549352,0,0.000861141011840689,0.0205128205128205,0.0404810721077517
"293","East Baton Rouge","000200",0.0272572988661239,0.00394768546396679,0.0198191156766414,0.0288075033497097,0,0.00121994976677431,0,0.0290598290598291
"294","East Baton Rouge","005100",0.00981872740241533,0.00288713970869987,0.00178651183564091,0.00161902635104958,0.000717617509867241,0.00107611455053193,0.0153846153846154,0.0234041766851145
"295","East Baton Rouge","005200",0.00761492485918784,0.00157366807513214,0.00111656989727557,0.000949084412684234,0.000215285252960172,0.000430500374653389,0,0.0205128205128205
"296","East Baton Rouge","000702",0.0152052537078486,0.0038312778916725,0.00200982581509603,0.0023447967842787,0,0.000861141011840689,0,0.0205128205128205
"297","East Baton Rouge","000300",0.00761492485918784,0.00132269837326833,5.58284948637785e-05,0.000167485484591335,0,0.000861141011840689,0,0.0205128205128205
"298","East Baton Rouge","000701",0.00871190692869617,0.00190321541629676,0.00669941938365342,0.00664359088878964,0.00258342303552207,0.00258173947362004,0.011965811965812,0.0236139587295219
"299","East Baton Rouge","002000",0.000718203507391101,0.000403358030346168,0.00664359088878964,0.0051920500223314,0.0168640114818802,0.0170684454338791,0.0153846153846154,0.0251494544319975
"300","East Baton Rouge","004503",0.0146543030720417,0.004097017357996,0.0318222420723537,0.0204890576150067,0.0443487621097955,0.0238429839045242,0,0.0290598290598291
"301","East Baton Rouge","000900",0.0181518557689943,0.0025956971728703,0.000223313979455114,0.000390799464046449,0,0.000861141011840689,0,0.0205128205128205
"302","East Baton Rouge","004507",0.00659173082126079,0.00216910901380608,0.0157994640464493,0.0105515855292541,0.0301399354144241,0.0175479364417675,0,0.0290598290598291
"303","East Baton Rouge","003300",0.0238876454239122,0.00262404238825445,0,0.000669941938365342,0,0.000861141011840689,0,0.0205128205128205
"304","East Baton Rouge","004700",0.0099712226676833,0.0043679570245679,0.00100491290754801,0.00167485484591335,0.00466451381413706,0.00961460048702942,0,0.0290598290598291
"305","East Baton Rouge","004010",0.00206606488427577,0.00107725400329665,0.0113890129522108,0.0080393032603841,0.032508073196986,0.0235804381763923,0,0.0205128205128205
"306","East Baton Rouge","002300",9.838404210837e-05,0.000108221289315603,0.00145154086645824,0.0015631978561858,0.00200932902762827,0.00243882128675881,0,0.0205128205128205
"307","East Carroll","000300",0.405464264502079,0.0927908337844829,0,0.444444444444444,0,Inf,0,Inf
"308","East Carroll","000100",0.151455157394575,0.0475153445752999,0,0.444444444444444,0,Inf,0,Inf
"309","East Carroll","000200",0.443080578103346,0.126024974564344,1,0,0,Inf,0,Inf
"310","East Feliciana","951502",0.460689978878198,0.048217963829821,0.578274760383387,0.23961661341853,0,0.333333333333333,0.473118279569892,0.286367030262514
"311","East Feliciana","951600",0.184111710865994,0.0465447133760124,0.134185303514377,0.185303514376997,1,0,0,0.129032258064516
"312","East Feliciana","951300",0.151724947195494,0.0335219226680846,0.00638977635782748,0.00958466453674121,0,0.235294117647059,0.387096774193548,0.405015330161281
"313","East Feliciana","951501",0.0261675662989908,0.0126700679581675,0.0575079872204473,0.0894568690095847,0,0.235294117647059,0.021505376344086,0.0526052049072365
"314","East Feliciana","951400",0.177305796761324,0.0566458956765826,0.223642172523962,0.230031948881789,0,0.235294117647059,0.118279569892473,0.217397686047106
"315","Evangeline","950200",0.00350723366944323,0.00317708017495588,0,0.0101437024513948,0.0136054421768707,0.0406875762050083,0,0.222222222222222
"316","Evangeline","950400",0.181499342393687,0.0532700233644525,0.166525781910397,0.156382079459003,0,0.115646258503401,0,0.314814814814815
"317","Evangeline","950800",0.102148180622534,0.033759075529715,0.0152155536770921,0.0202874049027895,0,0.0816326530612245,0,0.222222222222222
"318","Evangeline","950600",0.217996492766331,0.0389231664443256,0.11665257819104,0.138630600169062,0,0.0816326530612245,0.37037037037037,0.274180332594484
"319","Evangeline","950500",0.225230162209557,0.030217833108627,0,0.0101437024513948,0,0.0816326530612245,0,0.222222222222222
"320","Evangeline","950100",0.0900920648838229,0.0405922971677175,0.321217244294167,0.110735418427726,0.54421768707483,0.314487979250852,0.537037037037037,0.539854920507531
"321","Evangeline","950300",0.0955721174923279,0.0334427790914289,0.350803043110735,0.15469146238377,0.156462585034014,0.179855935719186,0.0925925925925926,0.0956900741426228
"322","Evangeline","950700",0.0839544059622972,0.0324758894574254,0.029585798816568,0.0532544378698225,0.285714285714286,0.333263910582745,0,0.222222222222222
"323","Franklin","950100",0.0787942098194299,0.0210352557262856,0,0.113207547169811,0.777777777777778,0.711431469333908,1,0
"324","Franklin","950400",0.0271601253544247,0.0113071198132064,0.122641509433962,0.175325232662074,0,0.666666666666667,0,1.2
"325","Franklin","950600",0.140277570511864,0.0332655070791468,0.0754716981132075,0.0650231179803413,0,0.666666666666667,0,1.2
"326","Franklin","950300",0.542904044172512,0.0458103018887733,0.556603773584906,0.635712688805684,0,0.944444444444444,0,1.7
"327","Franklin","950500",0.012983136845247,0.0101389452347954,0,0.113207547169811,0.222222222222222,0.174594266959641,0,1.2
"328","Franklin","950200",0.197880913296523,0.0394725273217703,0.245283018867925,0.304012153788963,0,0.666666666666667,0,1.2
"329","Grant","020300",0.504343105320304,0.0621801439374355,0.0860215053763441,0.0698924731182796,0,0.260869565217391,0,0.857142857142857
"330","Grant","020100",0.00868621064060804,0.0130270082840311,0.00627240143369176,0.014336917562724,0.0434782608695652,0.105657380812719,0,0.857142857142857
"331","Grant","020402",0.397394136807818,0.0633465319717086,0.881720430107527,0.10663082437276,0.152173913043478,0.268122559685298,0,1.21428571428571
"332","Grant","020200",0.0667752442996743,0.0333343635869132,0.00627240143369176,0.0161290322580645,0.347826086956522,0.456419969322408,0,0.857142857142857
"333","Grant","020401",0.0228013029315961,0.0170888586741012,0.0197132616487455,0.0376344086021505,0.456521739130435,0.314329770018043,1,0
"334","Iberia","031600",0.108565693589911,0.0225559958609115,0.0442477876106195,0.048180924287119,0,0.00614754098360656,0,0.193548387096774
"335","Iberia","030200",0.0357812977265785,0.0151268444726777,0.0603080957063258,0.0445755490003278,0.0194672131147541,0.0291770970133512,0.532258064516129,0.620056126961895
"336","Iberia","030302",0.0170615700135271,0.00749857823698115,0.105866928875778,0.0766961651917404,0.207991803278689,0.0923860507561909,0,0.274193548387097
"337","Iberia","030800",0.0833878779945019,0.0123822655441525,0.00229432972795805,0.00327761389708292,0.00409836065573771,0.00716785082861143,0,0.193548387096774
"338","Iberia","030600",0.0497447309857311,0.0142386067549975,0.138970829236316,0.114388725008194,0.021516393442623,0.0240427117979003,0,0.274193548387097
"339","Iberia","030100",0.16935026399616,0.0221164872484689,0.0517862995739102,0.0494919698459521,0.0076844262295082,0.0117736264077094,0,0.274193548387097
"340","Iberia","990000",0,0.000523628747218222,0,0.00393313667649951,0,0.00614754098360656,0,0.193548387096774
"341","Iberia","030301",0.0283195880787189,0.0112019032662417,0.0288430022943297,0.0255653883972468,0.234631147540984,0.125223885641386,0.0967741935483871,0.156119490286163
"342","Iberia","031200",0.0387921630230833,0.0100975319681318,0.119632907243527,0.102917076368404,0.0327868852459016,0.0552923572584094,0,0.193548387096774
"343","Iberia","030900",0.0802024697822577,0.0175212900439286,0.0567027204195346,0.0530973451327434,0.0491803278688525,0.0634549830921761,0,0.193548387096774
"344","Iberia","030500",0.0335122398219662,0.0114154162307168,0.0701409373975746,0.0399868895444117,0.0276639344262295,0.0240197243128113,0,0.193548387096774
"345","Iberia","031000",0.119605533010429,0.0267428450499052,0.00688298918387414,0.00884955752212389,0,0.00614754098360656,0,0.193548387096774
"346","Iberia","030400",0.0858314788148536,0.0214963647524049,0.090789904949197,0.0734185512946575,0.351946721311475,0.16203131616872,0.0645161290322581,0.133844384340903
"347","Iberia","031100",0.08984596587686,0.0199145973036206,0.0937397574565716,0.0776794493608653,0.00973360655737705,0.0153575846426956,0.161290322580645,0.343340660828942
"348","Iberia","030700",0.0230396648776018,0.00731816332585755,0.0685021304490331,0.0586692887577843,0.0076844262295082,0.0127989499133741,0.145161290322581,0.279155590211983
"349","Iberia","031300",0.0369594624078195,0.0149948117811492,0.0612913798754507,0.0471976401179941,0.0256147540983607,0.0342888258239793,0,0.274193548387097
"350","Iberville","953102",0.079106737320212,0.0151136708037666,0.0167064439140811,0.0274463007159905,0,0.571428571428571,0,0.169014084507042
"351","Iberville","953200",0.285642190259904,0.0202468359760612,0.162291169451074,0.0966587112171838,0.571428571428571,0.826719555123637,0.225352112676056,0.353649815587257
"352","Iberville","953000",0.0481327277315165,0.00881495311359685,0.110978520286396,0.113365155131265,0,0.571428571428571,0,0.169014084507042
"353","Iberville","953101",0.233787534695937,0.0261730294730058,0.389021479713604,0.199284009546539,0,0.80952380952381,0.774647887323944,0.684957026942474
"354","Iberville","952700",0.122129699722432,0.0305644118033939,0.0918854415274463,0.0894988066825776,0,0.80952380952381,0,0.23943661971831
"355","Iberville","952600",0.109008327024981,0.0275400048239003,0,0.0143198090692124,0.428571428571429,0.383856761351453,0,0.169014084507042
"356","Iberville","952900",0.122192783245016,0.0216568216835819,0.229116945107399,0.153937947494033,0,0.80952380952381,0,0.23943661971831
"357","Jackson","970400",0.415636134982184,0.048561448938763,0,0.0466926070038911,0.149425287356322,0.241226498451053,0.416666666666667,0.598955817224989
"358","Jackson","970300",0.192412492140013,0.0429520110074622,0.136186770428016,0.155642023346304,0.103448275862069,0.172311257386319,0,1
"359","Jackson","970200",0.12890379375393,0.0343654139914523,0.287937743190661,0.311284046692607,0.71264367816092,0.330807607979448,0.416666666666667,0.49060423503278
"360","Jackson","970100",0.19932928107315,0.0412733541669615,0.575875486381323,0.350194552529183,0.0344827586206897,0.0919326652523897,0.166666666666667,0.280197791692111
"361","Jackson","970500",0.0637182980507231,0.0182310572938839,0,0.0466926070038911,0,0.137931034482759,0,1
"362","Jefferson","023600",0.00506630904485174,0.00224371074514238,0.0150986852627875,0.00713348901186782,0.00554415922825304,0.00709562715445806,0,0.0091254752851711
"363","Jefferson","026900",0.0288464066896316,0.00335294945368897,0.00039985924954416,0.00044784235948946,0.000443532738260243,0.000720684197797623,0.00836501901140684,0.012017718736725
"364","Jefferson","022301",9.64176461822995e-05,0.000113946766247313,0.00585393941332651,0.00292696970666325,0.00593225037423075,0.00842625754592853,0,0.0091254752851711
"365","Jefferson","020502",0.0084672223829183,0.00348822287732742,0.0345318447906337,0.00718147212181312,0.00593225037423075,0.00698459773725457,0,0.0129277566539924
"366","Jefferson","027805",0.0292583729960469,0.00742223487647075,0.0202968555068616,0.00895684718978919,0.0509508233076454,0.0275904430418775,0,0.0129277566539924
