"","CTYNAME","Year","Whitepct","Blackpct","AIpct","Asianpct","Hawaiianpct","Twopct","Hispanicpct"
"19","East Feliciana Parish, Louisiana","cen42010",0.526965017022746,0.446785414713574,0.00296047762372329,0.0025164059801648,4.93412937287216e-05,0.010460354270489,0.0102629890955741
"20","Evangeline Parish, Louisiana","cen42010",0.680467278719397,0.282250470809793,0.00288370998116761,0.00329566854990584,8.82768361581921e-05,0.00818032015065913,0.022834274952919
"21","Franklin Parish, Louisiana","cen42010",0.66735686425579,0.313044734434439,0.00173351952617133,0.00202243944719988,0.000288919921028555,0.00611547166177108,0.00943805075359946
"22","Grant Parish, Louisiana","cen42010",0.778744004661796,0.154242682325519,0.00927876641714106,0.00242054776099332,0.000358599668295307,0.0132233627683894,0.0417320363978663
"23","Iberia Parish, Louisiana","cen42010",0.609462042599672,0.319442927362097,0.00348170398689241,0.0241807755324959,0.000245767340251229,0.011796832332059,0.0313899508465319
"24","Iberville Parish, Louisiana","cen42010",0.479138586875131,0.48980141971426,0.00182705843591817,0.00305508131907629,5.99035552760056e-05,0.00622996974870459,0.0198879803516339
"25","Jackson Parish, Louisiana","cen42010",0.675556101757404,0.296915325058375,0.0022121174880177,0.00172053582401376,0.000122895416000983,0.010630453484085,0.0128425709721027
"26","Jefferson Davis Parish, Louisiana","cen42010",0.787586250553903,0.173070836234728,0.00465278217383047,0.00202570108248402,9.49547382414382e-05,0.0155409254921821,0.0170285497246313
"27","Jefferson Parish, Louisiana","cen42010",0.562133570067876,0.259904011540809,0.00381457027131998,0.0385387190441843,0.000293606317853114,0.0111639756607298,0.124151547097228
"28","Lafayette Parish, Louisiana","cen42010",0.674502883860311,0.256726750850716,0.00314110606648675,0.0149698977335295,0.000257245755445035,0.0116031374955997,0.0387989782379117
"29","Lafourche Parish, Louisiana","cen42010",0.780217612491954,0.131844515043917,0.0273884424510476,0.00748562054859943,0.000269939159866276,0.014929711995681,0.037864158308935
"30","LaSalle Parish, Louisiana","cen42010",0.841034251175285,0.118132975151108,0.00980523841504365,0.00174613834788449,6.71591672263264e-05,0.00698455339153794,0.022229684351914
"31","Lincoln Parish, Louisiana","cen42010",0.542034877500802,0.403958489354873,0.00233229913341179,0.0169466138868086,0.000363753075853215,0.0089226489782818,0.025441318069969
"32","Livingston Parish, Louisiana","cen42010",0.901933982159874,0.0506615843656757,0.00378048208957555,0.00488182088013372,0.000195272835205349,0.00885757580491463,0.0296892818646212
"33","Madison Parish, Louisiana","cen42010",0.363929546018358,0.608864632431985,0.00190192673447449,0.00215000413462334,0,0.00760770693789796,0.015546183742661
"34","Morehouse Parish, Louisiana","cen42010",0.509810929625791,0.46792237034919,0.00128667929518567,0.00353836806176061,0.000428893098395225,0.00789878122877873,0.00911397834089853
